site,sampling_date,transect_num,quadrat_num,quadrat_pos,species,size_class,count,primary_substrate,notes,,site,date,transect,quadrat,quad_height,species,total count,quadrat area,density
Ellwood,8-Jun-19,1,1,2.4,Pachygrapsus,10-May,4,NULL,,,Ellwood,8-Jun-19,1,1,2.4,P. crassipes,10,0.25,
Ellwood,8-Jun-19,1,1,2.4,Pachygrapsus,15-25,3,NULL,,,,8-Jun-19,1,1,2.4,Unk. Shrimp,1,0.25,
Ellwood,8-Jun-19,1,1,2.4,Unknown shrimp,25-35,1,NULL,,,,8-Jun-19,1,0,0,0,0,0.25,
Ellwood,8-Jun-19,1,1,2.4,Pachygrapsus,0-5,3,NULL,,,,,,2,4.8,0,0,,
Ellwood,8-Jun-19,1,0,0,0,0,0,NULL,,,,,,3,7.2,P. crassipes,2,,
Ellwood,8-Jun-19,1,2,4.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,3,7.2,Pachygrapsus,5 - -10,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,3,7.2,Pachygrapsus,25-35,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,4,9.6,Pachygrapsus,15-25,2,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,5,12,Pachygrapsus,15-25,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,6,14.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,7,16.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,8,19.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,9,21.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,1,10,24,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,0,22,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,1,19.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,2,17.6,Pachygrapsus,0-5,2,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,2,17.6,Pachygrapsus,25-35,2,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,2,17.6,Pachygrapsus,15-May,2,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,2,17.6,Pachygrapsus,35+,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,3,17.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,4,15.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,5,13.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,6,11,Pachygrapsus,15-25,2,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,6,8.8,Pachygrapsus,25-35,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,7,8.8,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,7,6.6,Pachygrapsus,25-35,2,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,7,6.6,Pachygrapsus,35+,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,8,4.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,2,9,2.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,0,0,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,1,2.2,Pachygrapsus,25-35,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,2,4.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,3,6.6,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,3,6.6,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,4,8.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,5,11,Pachygrapsus,0-5,2,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,5,11,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,6,13.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,7,15.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,8,17.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,8-Jun-19,3,9,19.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,0,0,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,1,2.3,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,2,4.6,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,2,4.6,Pachygrapsus,10-May,2,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,3,6.9,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,4,9.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,5,11.5,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,5,11.5,Pachygrapsus,15-25,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,6,13.8,Pagurus,15-25,2,NULL,several more outside quadrat collected for parasitology,,,,,,,,,,
Ellwood,9-Jun-19,1,6,13.8,Pachygrapsus,15-25,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,6,13.8,Porcelain,0-5,5,NULL,collected 3,,,,,,,,,,
Ellwood,9-Jun-19,1,7,16.1,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,8,18.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,9,20.7,Pachygrapsus,15-25,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,9,20.7,Pachygrapsus,35+,2,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,1,10,23,Pachygrapsus,35+,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,0,0,Pachygrapsus,15-25,2,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,0,0,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,1,2.3,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,2,4.6,Pachygrapsus,25-Oct,3,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,2,4.6,Pachygrapsus,15-May,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,3,6.9,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,3,6.9,Pachygrapsus,0-5,2,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,4,9.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,5,11.5,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,6,13.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,7,16.1,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,8,18.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,2,9,20.7,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,0,0,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,1,2.2,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,2,4.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,3,6.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,4,8.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,5,11,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,6,13.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,7,15.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,8,17.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,9-Jun-19,3,9,19.9,0,0,0,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,0,0,Pachygrapsus,"0-5, 15-20","1, 1",NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,1,2.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,2,4.8,Pachygrapsus,"0-5, 5-10, 10-15",,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,3,7.2,Pachygrapsus,15-Oct,"3, 3, 1",NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,3,7.2,Pachygrapsus,20-25,6,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,3,7.2,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,4,9.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,5,12,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,6,14.4,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,7,16.8,Pachygrapsus,15-20,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,8,19.2,Pachygrapsus,15-Oct,2,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,8,19.2,Pachygrapsus,20-25,3,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,8,19.2,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,1,9,21.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,2,1,0,Pachygrapsus,10-May,1,mussel,,,,,,,,,,,
Ellwood,18-Jun-19,2,1,0,Pachygrapsus,15-20,2,mussel,,,,,,,,,,,
Ellwood,18-Jun-19,2,2,2.4,0,0,0,sand,,,,,,,,,,,
Ellwood,18-Jun-19,2,3,4.8,Pachygrapsus,15-20,1,mussel,,,,,,,,,,,
Ellwood,18-Jun-19,2,4,7.2,Pachygrapsus,10-May,4,mussel + pool + large boulders,,,,,,,,,,,
Ellwood,18-Jun-19,2,4,7.2,Pachygrapsus,0-15,3,mussel + pool + large boulders,,,,,,,,,,,
Ellwood,18-Jun-19,2,4,7.2,Pachygrapsus,15-20,2,mussel + pool + large boulders,,,,,,,,,,,
Ellwood,18-Jun-19,2,4,7.2,Pachygrapsus,30-35,1,mussel + pool + large boulders,,,,,,,,,,,
Ellwood,18-Jun-19,2,4,7.2,Pachygrapsus,0-5,1,mussel + pool + large boulders,,,,,,,,,,,
Ellwood,18-Jun-19,2,5,9.6,Pachygrapsus,10-May,1,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,2,6,12,0,0,0,gravel,,,,,,,,,,,
Ellwood,18-Jun-19,2,7,14.4,Pachygrapsus,20-25,1,sandy pool,,,,,,,,,,,
Ellwood,18-Jun-19,2,7,14.4,Pachygrapsus,15,1,sandy pool,,,,,,,,,,,
Ellwood,18-Jun-19,2,8,16.8,Pachygrapsus,20-25,1,cobble,,,,,,,,,,,
Ellwood,18-Jun-19,2,8,16.8,Pachygrapsus,0-5,1,cobble,,,,,,,,,,,
Ellwood,18-Jun-19,2,9,19.2,0,0,0,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,2,10,21.6,0,0,0,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,3,0,0,Pachygrapsus,0-5,2,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,0,0,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,1,2.3,0,0,0,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,2,4.6,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,2,4.6,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,3,6.9,0,0,0,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,4,9.2,Pachygrapsus,25-30,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,4,9.2,Pachygrapsus,20-25,2,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,4,9.2,Pachygrapsus,15-20,2,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,4,9.2,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,5,11.5,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,6,13.8,Pachygrapsus,0-5,2,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,6,13.8,Pachygrapsus,25-30,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,6,13.8,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,7,16.1,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,8,18.4,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,3,9,20.7,0,0,0,NULL,,,,,,,,,,,
Ellwood,18-Jun-19,4,1,0,Pachygrapsus,10-May,1,bare bedrock/mussel,,,,,,,,,,,
Ellwood,18-Jun-19,4,2,2.2,Pachygrapsus,0-15,1,sandy pool,,,,,,,,,,,
Ellwood,18-Jun-19,4,3,4.4,0,0,0,sandy pool,,,,,,,,,,,
Ellwood,18-Jun-19,4,4,6.6,Pachygrapsus,30-35,1,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,4,5,8.8,Pachygrapsus,25-30,1,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,4,6,11,Pachygrapsus,15-Oct,1,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,4,7,13.2,Pachygrapsus,25-30,1,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,4,7,13.2,Pachygrapsus,25-Oct,1,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,4,8,15.4,Pachygrapsus,0-5,1,boulder,,,,,,,,,,,
Ellwood,18-Jun-19,4,9,17.6,0,0,0,bare bedrock,,,,,,,,,,,
Ellwood,18-Jun-19,4,10,19.8,0,0,0,bare bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,1,10,19.8,0,0,0,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,1,1,0,Pachygrapsus,10-May,1,bedrock/mussels,,,,,,,,,,,
Ellwood,20-Jun-19,1,2,2.4,0,0,0,submerged sand,,,,,,,,,,,
Ellwood,20-Jun,1,3,4.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,4,7.2,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,4,7.2,Pachygrapsus,20-25,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,4,7.2,Pachygrapsus,15-20,1,NULL,,,,,,,,,,,
Ellwood,20-Jun,1,4,7.2,Pachygrapsus,25-30,2,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,4,7.2,Pachygrapsus,30-35,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,4,7.2,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,5,9.6,Pachygrapsus,20-25,1,NULL,,,,,,,,,,,
Ellwood,20-Jun,1,5,9.6,Pachygrapsus,15-Oct,3,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,5,9.6,Pachygrapsus,25-30,2,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,5,9.6,Pachygrapsus,0-5,2,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,5,9.6,Pachygrapsus,30-35,1,NULL,,,,,,,,,,,
Ellwood,20-Jun,1,6,12,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,7,14.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,8,16.5,Pachygrapsus,20-25,1,NULL,,,,,,,,,,,
Ellwood,20-Jun,1,9,19.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,1,10,21.6,Pachygrapsus,15-20,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,0,0,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,0,0,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,20-Jun,2,1,2.3,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,2,4.6,Pachygrapsus,0-5,9,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,3,6.9,Pachygrapsus,15-Oct,2,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,4,9.2,Pachygrapsus,0-5,3,NULL,,,,,,,,,,,
Ellwood,20-Jun,2,5,11.5,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,6,13.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,7,16.1,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,8,18.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun,2,9,20.7,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,2,0,0,Pachygrapsus,0-5,4,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,3,1,0,Pachygrapsus,0-5,5,mussel bed,,,,,,,,,,,
Ellwood,20-Jun-19,3,1,0,Pachygrapsus,10-May,4,mussel bed,,,,,,,,,,,
Ellwood,20-Jun,3,1,0,Pachygrapsus,15-20,1,mussel bed,,,,,,,,,,,
Ellwood,20-Jun-19,3,2,2.2,0,0,0,sand,,,,,,,,,,,
Ellwood,20-Jun-19,3,3,4.4,0,0,0,sand/bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,3,4,6.6,Pachygrapsus,0-5,1,bedrock,,,,,,,,,,,
Ellwood,20-Jun,3,5,8.8,Pachygrapsus,10-May,1,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,3,5,8.8,Pachygrapsus,15-20,1,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,3,6,11,Pachygrapsus,0-5,3,bedrock,,,,,,,,,,,
Ellwood,20-Jun,3,6,11,Pachygrapsus,20-Oct,2,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,3,7,13.2,Pachygrapsus,15-Oct,1,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,3,7,13.2,Pachygrapsus,10-May,4,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,3,7,13.2,Pachygrapsus,15-20,1,bedrock,,,,,,,,,,,
Ellwood,20-Jun,3,8,15.4,0,0,0,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,3,9,17.6,0,0,0,bedrock,,,,,,,,,,,
Ellwood,20-Jun-19,4,0,2.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,1,4.4,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,20-Jun,4,2,4.4,Pachygrapsus,15-Oct,2,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,2,6.6,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,3,6.6,Pachygrapsus,15-Oct,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,3,8.8,Pachygrapsus,0-5,1,NULL,,,,,,,,,,,
Ellwood,20-Jun,4,4,8.8,Pachygrapsus,10-May,1,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,4,11,Pachygrapsus,0-5,2,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,5,13.2,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,6,15.4,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun,4,7,17.6,0,0,0,NULL,,,,,,,,,,,
Ellwood,20-Jun-19,4,8,19.8,0,0,0,NULL,,,,,,,,,,,
Ellwood,21-Jun-19,1,0,0,Pachygrapsus,0-5,3,mussels,,,,,,,,,,,
Ellwood,21-Jun-19,1,1,2.3,0,0,0,sand,,,,,,,,,,,
Ellwood,21-Jun-19,1,2,4.6,Pachygrapsus,0-5,4,mussels,,,,,,,,,,,
Ellwood,21-Jun-19,1,3,6.9,0,0,0,sand,,,,,,,,,,,
Ellwood,21-Jun-19,1,4,9.2,0,0,0,sand,,,,,,,,,,,
Ellwood,21-Jun-19,1,5,11.5,0,0,0,rock slab,,,,,,,,,,,
Ellwood,21-Jun-19,1,6,13.8,0,0,0,rock slab,,,,,,,,,,,
Ellwood,21-Jun-19,1,7,16.1,0,0,0,rock slab,,,,,,,,,,,
Ellwood,21-Jun-19,1,8,18.4,0,0,0,rock slab,,,,,,,,,,,
Ellwood,21-Jun-19,1,9,20.7,0,0,0,rock slab,,,,,,,,,,,
Ellwood,21-Jun-19,2,1,0,Pachygrapsus,10-May,1,bare bedrock,,,,,,,,,,,
Ellwood,21-Jun-19,2,2,2.3,Pachygrapsus,0-5,1,sand + sandcastle,,,,,,,,,,,
Ellwood,21-Jun-19,2,2,2.3,Pachygrapsus,10-May,4,sand + sandcastle,,,,,,,,,,,
Ellwood,21-Jun-19,2,2,2.3,Pachygrapsus,15-Oct,1,sand + sandcastle,,,,,,,,,,,
Ellwood,21-Jun-19,2,3,4.6,0,0,0,sand  + bedrock,,,,,,,,,,,
Ellwood,21-Jun-19,2,4,6.9,Pachygrapsus,20-25,2,mussel + a lot more,,,,,,,,,,,
Ellwood,21-Jun-19,2,4,6.9,Pachygrapsus,30-35,1,mussel + a lot more,,,,,,,,,,,
Ellwood,21-Jun-19,2,4,6.9,Pachygrapsus,0-5,2,mussel + a lot more,,,,,,,,,,,
Ellwood,21-Jun-19,2,4,6.9,Pachygrapsus,15-20,4,mussel + a lot more,,,,,,,,,,,
Ellwood,21-Jun-19,2,4,6.9,Porcelain (unknown),0-5,3,mussel + a lot more,,,,,,,,,,,
Ellwood,21-Jun-19,2,4,6.9,Pachygrapsus,25-30,1,mussel + a lot more,,,,,,,,,,,
Ellwood,21-Jun-19,2,5,9.2,Pachygrapsus,10-May,1,bare bedrock + sand,,,,,,,,,,,
Ellwood,21-Jun-19,2,5,9.2,Pachygrapsus,20-25,4,bare bedrock + sand,,,,,,,,,,,
Ellwood,21-Jun-19,2,6,11.5,Pachygrapsus,0-5,1,bare bedrock,,,,,,,,,,,
Ellwood,21-Jun-19,2,6,11.5,Pachygrapsus,10-May,1,bare bedrock,,,,,,,,,,,
Ellwood,21-Jun-19,2,7,13.8,Pagurus samuelis,15-20,1,bare bedrock + sand,,,,,,,,,,,
Ellwood,21-Jun-19,2,7,13.8,Pachygrapsus,10-May,1,bare bedrock + sand,,,,,,,,,,,
Ellwood,21-Jun-19,2,7,13.8,Pachygrapsus,15-Oct,1,bare bedrock + sand,,,,,,,,,,,
Ellwood,21-Jun-19,2,8,16.1,Pachygrapsus,15-Oct,1,bedrock + cobble,,,,,,,,,,,
Ellwood,21-Jun-19,2,9,18.4,0,0,0,pool,,,,,,,,,,,
Ellwood,21-Jun-19,2,10,20.7,Pachygrapsus,30-35,1,cobble pool,,,,,,,,,,,
