Date,Measurement_Period,AR_1_Open_1, AR_1_Open_2,AR_1_Open_3,AR_2_Open_1,AR_2_Open_2,AR_2_Open_3,AR_3_Open_1,AR_3_Open_2,AR_3_Open_3,AR_1_T_1,AR_1_T_2,AR_1_T_3,AR_2_T_1,AR_2_T_2,AR_2_T_3,AR_3_T_1,AR_3_T_2,AR_3_T_3,AR_1_P_1,AR_1_P_2,AR_1_P_3,AR_2_P_1,AR_2_P_2,AR_2_P_3,AR_3_P_1,AR_3_P_2,AR_3_P_3,IN_1_Open_1,IN_1_Open_2,IN_1_Open_3,IN_2_Open_1,IN_2_Open_2,IN_2_Open_3,IN_3_Open_1,IN_3_Open_2,IN_3_Open_3,IN_1_P_1,IN_1_P_2,IN_1_P_3,IN_2_P_1,IN_2_P_2,IN_2_P_3,IN_3_P_1,IN_3_P_2,IN_3_P_3,IN_1_T_1,IN_1_T_2,IN_1_T_3,IN_2_T_1,IN_2_T_2,IN_2_T_3,IN_3_T_1,IN_3_T_2,IN_3_T_3,ME_1_Open_1,ME_1_Open_2,ME_1_Open_3,ME_2_Open_1,ME_2_Open_2,ME_2_Open_3,ME_3_Open_1,ME_3_Open_2,ME_3_Open_3,ME_1_P_1,ME_1_P_2,ME_1_P_3,ME_2_P_1,ME_2_P_2,ME_2_P_3,ME_3_P_1,ME_3_P_2,ME_3_P_3,ME_1_T_1,ME_1_T_2,ME_1_T_3,ME_2_T_1,ME_2_T_2,ME_2_T_3,ME_3_T_1,ME_3_T_2,ME_3_T_3
7/29/2018,1,22.26,19.74,25.22,21.36,21.28,19.74,26.4,19.98,17.84,26.5,32.94,23.68,27.48,22.46,20.82,24,18.08,27.02,31.96,34.9,37.56,36.8,33.22,30.82,27.9,31,34.86,33.352,50.04,45.92,33.44,52.76,37.8,36.14,38.7476,37.82,36.897,43.46,47.34,30.471,39.44,30.975,53.78,53.5,42.764,47.52,37.56,27.58,33.075,33.82,42.063,31.36,48.28,37.1,58.42,62.8,59.74,63.66,47.397,46.12,45.3,48.16,47.42,53.62,55.06,54.22,57.06,43.72,32.66,67.4,71.18,55.209,44.3,51.36,49.82,57.68,63.42,66.7,70.28,58.04,59.304
8/6/2018,2,13.76,20.44,26.72,18.16,20.76,15.54,22.76,19.94,15.84,24.61,26.22,22.74,25.78,24.86,19.64,22.78,19.46,25.8,31.4,29.04,38.5,23.14,34,37.38,24.84,30.2,30.56,31.882,54.66,45.32,31.06,46.22,31.88,33.26,30.8906,41.04,34.419,38.5,41.6,31.941,39,36.057,45.72,52.58,39.592,44.22,38.5,30.48,36.771,34.02,40.803,31.38,39.54,35.6,54.78,60.2,61.98,55.22,46.935,49.08,48.28,45.4,45.5,60.46,61.36,42.64,55.04,48.68,38.34,66.12,71.26,53.592,44.08,52.46,55.42,59.02,60.82,65.32,74.025,61.7,59.094
8/12/2018,3,12.26,18.6,25.65,19.38,20.64,17.76,22.26,20.52,18.14,27.15,24.84,21.8,25.92,27.48,23.96,23.98,20.4,26.62,33.16,31.38,32.4,37.26,36.5,34.82,26.64,29.34,31.12,31.434,48.24,44.62,30.76,43.58,32.86,34.06,30.5958,42.58,33.873,35.54,40.48,30.534,38.06,34.86,43.908,53.1,38.94,45.34,36.8,33.04,34.167,39.16,31.227,31.6,34.02,35.14,51.42,56.64,63.26,36.12,47.586,46.06,47.32,43.14,40.3,63.86,65.1,55.04,54,53.38,41.74,66.64,65.52,48.573,44.46,54.08,57.64,56.52,57.52,64.42,65.898,66.82,58.149
8/19/2018,4,15.52,18.62,14.84,19.56,20.42,17.12,17.2,22.52,24.3,24.15,23.32,21.72,25.2,28.28,25,26.14,19.46,29.56,32.66,38,34.44,36.54,38.3,32.52,26.6,36.46,27.36,30.708,49.38,44.08,31.16,39.74,32.44,33.62,30.3568,41.6,33.264,32.127,45.58,29.799,37.02,35.049,39.474,50.94,32.8,45.16,40.02,35.42,24.591,34.418,29.673,31.2,32.2,34.4,49.62,52.08,67.44,35.02,46.725,43.32,50.7,41.92,38,65.52,71.52,53.62,51.9,49.28,42.12,68.08,59.1,46.956,43.72,54.92,61.98,53.84,52.88,62.88,59.787,73.72,53.76
8/26/2018,5,19.92,17.54,8.46,16.14,20.82,18.04,11.44,19.04,23.72,25.75,22.22,21.38,23.2,30.28,23.42,26.34,16.78,25.86,34.1,35.96,36.92,34.14,37.94,33.92,27.22,32.12,27.24,30.63,43.42,43.7,30.9,37.68,33,33.64,30.83,42.1,30.009,28.894,48.2,33.768,35.96,33.701,31.25,50.7,37.54,43.163,43.26,38.34,21.063,29.253,28.245,34.04,31.74,34.32,47.16,46.8,68.84,34.16,43.512,49.06,53.98,43.02,45.28,66.02,72.06,49.36,49.32,73.14,43.84,69.7,64.22,47.397,45.64,57.8,64.72,49.34,47.74,59.08,58.737,77.3,57.225
9/3/2018,6,8.36,17.37,7.76,15.16,20.72,16.52,10.72,18.04,17.44,28.2,21.76,22.36,23.12,30.83,24.6,26.44,17.54,24.22,35.74,31.64,35.49,30.9,37.18,28.12,26.98,28.68,27.45,30.238,38.4,43.06,30.78,36.6,32.264,34.26,31.472,42.76,31.332,27.102,44.66,35.469,34.46,32.58,28.432,48.34,31.68,34.104,48.04,39.82,25.074,24.045,26.166,38.76,31.58,33.92,45.48,45.92,61.66,51.6,43.806,51.74,49.151,45.62,49.86,65.92,73.86,48,47.62,73.3,43.88,73.36,68.32,46.851,49.82,55.54,66.76,45.96,45.94,55,59.766,80.26,53.676
9/11/2018,7,7.9,16.03,6.86,11.94,18.56,20.62,8.7,17.7,17.02,26.42,22.2,24.98,24.1,23.68,22.5,25.82,18.99,19.38,37.25,27.01,31.94,26.34,35.9,23.7,29.44,26.88,27.53,30.416,37.8,42.1,30.32,35.92,31.03,33.96,27.768,38.94,32.592,28.287,31.15,33.852,33.3,26.994,27.741,44.78,34.65,36.057,43.2,40.86,28.014,37.905,25.641,45.94,31.36,34.1,44.26,41.9,63.38,45.68,42.042,56.7,44.772,45.52,51.7,66.98,74.5,46.6,45.36,60.08,43.36,78.24,76.58,46.851,59.72,57.58,64.48,43.46,42.88,52.78,68.943,62.52,53.235
9/16/2018,8,7.94,14.36,5.38,8.76,15.66,15.2,8.22,15.69,14.3,27.3,23.79,23.14,24.86,23.44,20.22,24.18,19.83,19.06,34.74,27.43,33.52,21.8,34.6,23.32,31.26,25.68,26.98,28.042,35.88,41.34,32.26,35.26,29.76,33.88,21.386,32.36,35.595,32.004,29.58,33.768,32.32,22.785,24.507,43.08,33.909,36.204,47.52,38.12,27.468,33.362,25.851,45.56,30.84,31.68,42.82,41.5,59.34,42.34,43.029,58.48,42.504,45.8,40.604,68.32,71.38,44.06,43.8,56.98,41.86,79.94,82.2,47.271,60.82,56.58,66.6,42.78,41.42,44.58,72.387,75.1,50.526
9/29/2018,9,8.78,15.05,4.82,10.1,12.5,16.92,7.54,10.25,14.68,26.73,28.75,21.44,23.98,23.14,21.68,22.42,18.78,18.7,31.66,24.88,31.14,24.64,31,22.9,26.7,24.1,27.01,27.71,34.86,41,32.3,34.56,28.524,31.175,20.764,31.72,38.325,31.584,28.66,27.191,31.56,22.764,23.52,44.18,31.458,33.432,53.62,40.74,30.639,32.84,28.623,41.78,30.42,31.34,41.8,40.38,57.42,42.24,40.908,57.7,44.373,40.6,38.535,64.62,72,43.453,39.2,55.54,50.1,72,80.56,48.426,63.18,61.14,71.84,42.2,40.6,42.44,70.607,77.46,52.164
10/7/2018,10,11.56,14.23,6.88,8.2,14.74,15.39,8.66,10.15,16.44,25.24,26.48,21.58,22.5,25.81,19.4,21.94,17,22.06,31.24,19.85,26.65,26.84,30.4,22.38,26.99,23.4,24.66,25.532,34.48,40.38,32.98,33.5,27.6,27.02,20.646,31.6,42.105,32.046,28.26,25.88,31.34,22.386,23.058,47.28,30.223,29.631,41.76,37.16,31.332,21.618,29.715,38.46,27.94,29.12,41.183,39.52,51.94,41.92,39.375,57.02,42.945,37.66,34.06,61.74,71.44,40.236,38.4,51.1,60.38,52.86,65.08,46.284,66.5,60.76,78.44,41.84,39.48,41.48,61.52,75.22,54.432
