DEPLOYMENT_DATE,SITE,BLOCK,PLOT,CAGE_ID,SPECIES,date_start,date_alive,num_alive,num_dead,death_t_f
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-05,21,19,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-12,16,5,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-12,16,5,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-12,16,5,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-12,16,5,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-12,16,5,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-19,14,2,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-19,14,2,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-26,11,3,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-26,11,3,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-08-26,11,3,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-02,1,10,1
8/10/18,ARID,1,O,A1O1,DEVA,2018-07-28,2018-09-30,0,1,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-05,15,25,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-12,12,3,1
8/10/18,ARID,1,O,A1O1,IXPA,2018-07-28,2018-08-12,12,3,1
