DEPLOYMENT_DATE,SITE,BLOCK,PLOT,CAGE_ID,SPECIES,7/28/18,8/5/18,8/12/18,8/19/18,8/26/18,9/2/18,9/16/18,9/30/18,10/7/18,10/21/18
8/10/18,ARID,1,O,A1O1,DEVA,40,21,16,14,11,1,1,0,0,0
8/10/18,ARID,1,O,A1O1,IXPA,40,15,12,8,4,0,0,0,0,0
8/10/18,ARID,1,O,A1O2,DEVA,40,18,11,9,5,1,1,0,0,0
8/10/18,ARID,1,O,A1O2,IXPA,40,19,13,4,0,0,0,0,0,0
8/10/18,ARID,1,O,A1O3,DEVA,40,24,19,15,9,3,2,0,0,0
8/10/18,ARID,1,O,A1O3,IXPA,40,14,7,3,0,0,0,0,0,0
8/10/18,ARID,2,O,A2O1,DEVA,40,22,18,14,11,4,2,0,0,0
8/10/18,ARID,2,O,A2O1,IXPA,40,16,15,7,3,3,1,0,0,0
8/10/18,ARID,2,O,A2O2,DEVA,40,26,20,12,6,2,1,0,0,0
8/10/18,ARID,2,O,A2O2,IXPA,40,19,9,9,4,4,2,0,0,0
8/10/18,ARID,2,O,A2O3,DEVA,40,23,19,10,6,6,3,1,0,0
8/10/18,ARID,2,O,A2O3,IXPA,40,15,7,4,2,2,0,0,0,0
8/10/18,ARID,3,O,A3O1,DEVA,40,25,22,12,9,7,5,2,1,0
8/10/18,ARID,3,O,A3O1,IXPA,40,9,4,0,0,0,0,0,0,0
8/10/18,ARID,3,O,A3O2,DEVA,40,28,21,19,14,7,3,1,0,0
8/10/18,ARID,3,O,A3O2,IXPA,40,12,8,5,2,0,0,0,0,0
8/10/18,ARID,3,O,A3O3,DEVA,40,20,16,15,14,9,6,2,0,0
8/10/18,ARID,3,O,A3O3,IXPA,40,14,10,8,5,4,3,0,0,0
8/10/18,ARID,1,W,A1W1,DEVA,40,24,16,14,11,3,1,0,0,0
8/10/18,ARID,1,W,A1W1,IXPA,40,14,12,8,4,0,0,0,0,0
8/10/18,ARID,1,W,A1W2,DEVA,40,21,11,9,5,3,2,0,0,0
8/10/18,ARID,1,W,A1W2,IXPA,40,19,13,4,0,0,0,0,0,0
8/10/18,ARID,1,W,A1W3,DEVA,40,26,19,15,9,5,4,1,0,0
8/10/18,ARID,1,W,A1W3,IXPA,40,11,7,3,0,0,0,0,0,0
8/10/18,ARID,2,W,A2W1,DEVA,40,26,18,14,11,4,2,0,0,0
8/10/18,ARID,2,W,A2W1,IXPA,40,17,15,7,3,3,1,0,0,0
8/10/18,ARID,2,W,A2W2,DEVA,40,28,20,12,6,5,4,1,0,0
8/10/18,ARID,2,W,A2W2,IXPA,40,20,9,9,4,4,2,0,0,0
8/10/18,ARID,2,W,A2W3,DEVA,40,25,19,10,6,6,3,0,0,0
8/10/18,ARID,2,W,A2W3,IXPA,40,14,7,4,2,2,0,0,0,0
8/10/18,ARID,3,W,A3W1,DEVA,40,28,22,12,9,7,5,1,1,0
8/10/18,ARID,3,W,A3W1,IXPA,40,8,4,0,0,0,0,0,0,0
8/10/18,ARID,3,W,A3W2,DEVA,40,32,25,19,14,10,6,2,2,1
8/10/18,ARID,3,W,A3W2,IXPA,40,12,8,5,2,0,0,0,0,0
8/10/18,ARID,3,W,A3W3,DEVA,40,20,16,15,14,9,6,2,2,1
8/10/18,ARID,3,W,A3W3,IXPA,40,14,10,8,5,4,3,0,0,0
8/10/18,ARID,1,WC,A1WC1,DEVA,40,14,5,4,1,0,0,0,0,0
8/10/18,ARID,1,WC,A1WC1,IXPA,40,11,0,0,0,0,0,0,0,0
8/10/18,ARID,1,WC,A1WC2,DEVA,40,16,3,1,0,0,0,0,0,0
