site,block,plot,cage,Location_ID,tick id,date_death,days_elpsd,death_tf
Intermediate,1,Control,1,under_oak,1,23-07-2019,14,1
Intermediate,1,Control,1,under_oak,2,23-07-2019,14,1
Intermediate,1,Control,1,under_oak,3,13-08-2019,35,1
Intermediate,1,Control,1,under_oak,4,13-08-2019,35,1
Intermediate,1,Control,2,open,5,23-07-2019,14,1
Intermediate,1,Control,2,open,6,23-07-2019,14,1
Intermediate,1,Control,2,open,7,23-07-2019,14,1
Intermediate,1,Control,2,open,8,23-07-2019,14,1
Intermediate,1,Control,3,rabbitbrush,9,23-07-2019,14,1
Intermediate,1,Control,3,rabbitbrush,10,23-07-2019,14,1
Intermediate,1,Control,3,rabbitbrush,11,13-08-2019,35,1
Intermediate,1,Control,3,rabbitbrush,12,13-08-2019,35,1
Intermediate,1,Total,4,under_oak,13,13-08-2019,35,1
Intermediate,1,Total,4,under_oak,14,13-08-2019,35,1
Intermediate,1,Total,4,under_oak,15,13-08-2019,35,1
Intermediate,1,Total,4,under_oak,16,13-08-2019,35,1
Intermediate,1,Total,5,open,17,23-07-2019,14,1
Intermediate,1,Total,5,open,18,23-07-2019,14,1
Intermediate,1,Total,5,open,19,22-08-2019,44,1
Intermediate,1,Total,5,open,20,22-08-2019,44,1
Intermediate,1,Total,6,rabbitbrush,21,23-07-2019,14,1
Intermediate,1,Total,6,rabbitbrush,22,23-07-2019,14,1
Intermediate,1,Total,6,rabbitbrush,23,13-08-2019,35,1
Intermediate,1,Total,6,rabbitbrush,24,22-08-2019,44,1
Intermediate,1,Partial,7,under_oak,25,13-08-2019,35,1
Intermediate,1,Partial,7,under_oak,26,13-08-2019,35,1
Intermediate,1,Partial,7,under_oak,27,13-08-2019,35,1
Intermediate,1,Partial,7,under_oak,28,22-08-2019,44,1
Intermediate,1,Partial,8,open,29,23-07-2019,14,1
Intermediate,1,Partial,8,open,30,23-07-2019,14,1
Intermediate,1,Partial,8,open,31,23-07-2019,14,1
Intermediate,1,Partial,8,open,32,13-08-2019,35,1
Intermediate,1,Partial,9,rabbitbrush,33,23-07-2019,14,1
Intermediate,1,Partial,9,rabbitbrush,34,23-07-2019,14,1
Intermediate,1,Partial,9,rabbitbrush,35,23-07-2019,14,1
Intermediate,1,Partial,9,rabbitbrush,36,22-08-2019,44,1
Intermediate,2,Control,1,under_oak,37,13-08-2019,35,1
Intermediate,2,Control,1,under_oak,38,13-08-2019,35,1
Intermediate,2,Control,1,under_oak,39,22-08-2019,44,1
Intermediate,2,Control,1,under_oak,40,22-08-2019,44,1
Intermediate,2,Control,2,open,41,13-08-2019,35,1
Intermediate,2,Control,2,open,42,13-08-2019,35,1
Intermediate,2,Control,2,open,43,05-09-2019,58,1
Intermediate,2,Control,2,open,44,05-09-2019,58,1
Intermediate,2,Control,3,rabbitbrush,45,23-07-2019,14,1
Intermediate,2,Control,3,rabbitbrush,46,22-08-2019,44,1
Intermediate,2,Control,3,rabbitbrush,47,22-08-2019,44,1
Intermediate,2,Control,3,rabbitbrush,48,05-09-2019,58,1
Intermediate,2,Total,4,under_oak,49,23-07-2019,14,1
Intermediate,2,Total,4,under_oak,50,13-08-2019,35,1
Intermediate,2,Total,4,under_oak,51,13-08-2019,35,1
Intermediate,2,Total,4,under_oak,52,22-08-2019,44,1
Intermediate,2,Total,5,open,53,23-07-2019,14,1
Intermediate,2,Total,5,open,54,13-08-2019,35,1
Intermediate,2,Total,5,open,55,13-08-2019,35,1
Intermediate,2,Total,5,open,56,22-08-2019,44,1
Intermediate,2,Total,6,rabbitbrush,57,23-07-2019,14,1
Intermediate,2,Total,6,rabbitbrush,58,13-08-2019,35,1
Intermediate,2,Total,6,rabbitbrush,59,13-08-2019,35,1
Intermediate,2,Total,6,rabbitbrush,60,13-08-2019,35,1
Intermediate,2,Partial,7,under_oak,61,13-08-2019,35,1
Intermediate,2,Partial,7,under_oak,62,05-09-2019,58,0
Intermediate,2,Partial,7,under_oak,63,05-09-2019,58,0
Intermediate,2,Partial,7,under_oak,64,05-09-2019,58,0
Intermediate,2,Partial,8,open,65,23-07-2019,14,1
Intermediate,2,Partial,8,open,66,22-08-2019,44,1
Intermediate,2,Partial,8,open,67,22-08-2019,44,1
Intermediate,2,Partial,8,open,68,22-08-2019,44,1
Arid,1,Control,1,under_oak,69,13-08-2019,22,1
Arid,1,Control,1,under_oak,70,13-08-2019,22,1
Arid,1,Control,1,under_oak,71,22-08-2019,31,1
Arid,1,Control,1,under_oak,72,22-08-2019,31,1
Arid,1,Control,2,open,73,13-08-2019,22,1
Arid,1,Control,2,open,74,13-08-2019,22,1
Arid,1,Control,2,open,75,13-08-2019,22,1
Arid,1,Control,2,open,76,13-08-2019,22,1
Arid,1,Control,3,rocky_area,77,13-08-2019,22,1
Arid,1,Control,3,rocky_area,78,13-08-2019,22,1
Arid,1,Control,3,rocky_area,79,13-08-2019,22,1
Arid,1,Control,3,rocky_area,80,22-08-2019,31,1
Arid,1,Total,4,under_oak,81,13-08-2019,22,1
Arid,1,Total,4,under_oak,82,13-08-2019,22,1
Arid,1,Total,4,under_oak,83,13-08-2019,22,1
Arid,1,Total,4,under_oak,84,13-08-2019,22,1
Arid,1,Total,5,open,85,13-08-2019,22,1
Arid,1,Total,5,open,86,13-08-2019,22,1
Arid,1,Total,5,open,87,13-08-2019,22,1
Arid,1,Total,5,open,88,22-08-2019,31,1
